station_id,station_name,management_area,obs_date,rainfall_mm,data_quality_flag
23083,Edinburgh,Northern Adelaide Plains,2023-06-09,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-10,8.5,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-11,15.5,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-12,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-13,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-14,9.8,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-15,9.4,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-16,7.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-17,14.6,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-18,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-19,13.6,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-20,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-21,27.6,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-22,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-23,6.7,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-24,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-25,6.5,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-26,26.5,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-27,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-28,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-29,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-06-30,54.2,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-01,10.2,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-02,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-03,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-04,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-05,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-06,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-07,9.7,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-08,5.7,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-09,7.5,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-10,16.3,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-11,12.5,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-12,8.2,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-13,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-14,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-15,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-16,28.1,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-17,9.3,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-18,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-19,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-20,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-21,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-22,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-23,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-24,6.7,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-25,12.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-26,27.5,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-27,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-28,20.8,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-29,21.4,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-30,6.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-07-31,17.3,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-01,13.4,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-02,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-03,8.3,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-04,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-05,7.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-06,8.5,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-07,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-08,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-09,6.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-10,63.8,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-11,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-12,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-13,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-14,12.6,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-15,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-16,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-17,13.4,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-18,10.5,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-19,28.2,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-20,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-21,10.5,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-22,37.2,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-23,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-24,17.6,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-25,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-26,12.3,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-27,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-28,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-29,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-30,6.7,measured
23083,Edinburgh,Northern Adelaide Plains,2023-08-31,18.3,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-01,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-02,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-03,3.3,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-04,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-05,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-06,8.6,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-07,18.4,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-08,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-09,9.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-10,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-11,19.7,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-12,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-13,8.1,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-14,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-15,3.9,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-16,0.0,measured
23083,Edinburgh,Northern Adelaide Plains,2023-09-17,0.0,measured
